ENSG00000198754.5	OXCT2
ENSG00000229213.1	AL033527.1
ENSG00000043514.17	TRIT1
ENSG00000116990.11	MYCL
ENSG00000168389.17	MFSD2A
ENSG00000228477.1	AL663070.1
ENSG00000131236.17	CAP1
ENSG00000131238.17	PPT1
ENSG00000226745.2	AL512599.1
ENSG00000117000.9	RLF
ENSG00000188800.6	TMCO2
ENSG00000084073.9	ZMPSTE24
ENSG00000231296.1	AL050341.1
ENSG00000049089.15	COL9A2
ENSG00000227311.3	AL031985.2
ENSG00000084070.12	SMAP2
ENSG00000213172.3	AL031985.1
ENSG00000187801.15	ZFP69B
ENSG00000187815.10	ZFP69
ENSG00000164002.11	EXO5
ENSG00000117010.17	ZNF684
ENSG00000236505.1	AL356379.1
ENSG00000233910.1	GTF2F2P2
ENSG00000117016.10	RIMS3
ENSG00000066136.20	NFYC
ENSG00000117013.17	KCNQ4
ENSG00000179862.7	CITED4
ENSG00000228940.1	AL391730.1
ENSG00000233118.2	UBE2V1P8
ENSG00000171793.16	CTPS1
ENSG00000171790.15	SLFNL1
ENSG00000010803.16	SCMH1
ENSG00000215893.3	RPL23AP17
ENSG00000213987.4	AC093151.1
ENSG00000286640.1	AC093151.6
ENSG00000204060.7	FOXO6
ENSG00000252563.1	RNA5SP45
ENSG00000127129.10	EDN2
ENSG00000127124.16	HIVEP3
ENSG00000230638.4	AL445933.1
ENSG00000284895.1	AC119676.1
ENSG00000227538.1	HNRNPFP1
ENSG00000228776.2	AC114492.1
ENSG00000044012.4	GUCA2B
ENSG00000197273.4	GUCA2A
ENSG00000198815.9	FOXJ3
ENSG00000177181.15	RIMKLA
ENSG00000235002.1	AL513331.1
ENSG00000066185.13	ZMYND12
ENSG00000127125.9	PPCS
ENSG00000186409.17	CCDC30
ENSG00000230116.1	AL445669.1
ENSG00000236876.3	TMSB4XP1
ENSG00000236180.2	AL445669.2
ENSG00000171960.11	PPIH
ENSG00000065978.19	YBX1
ENSG00000164007.11	CLDN19
ENSG00000117385.15	P3H1
ENSG00000164008.16	C1orf50
ENSG00000283580.3	AC098484.3
ENSG00000274386.5	TMEM269
ENSG00000177868.12	SVBP
ENSG00000164010.15	ERMAP
ENSG00000164011.18	ZNF691
ENSG00000233708.1	AL512353.2
ENSG00000237090.1	AL512353.3
ENSG00000225099.1	ATP6V1E1P1
ENSG00000117394.23	SLC2A1
ENSG00000284138.1	ATP6V0CP4
